User_ID,Latitude,Longitude
0,37.76150825,-122.4257666
0,37.75968887,-122.4271774
0,37.78594785,-122.4106178
0,37.78260468,-122.407608
0,37.78312959,-122.4038744
0,37.78647887,-122.4035633
0,37.7795577,-122.3979092
0,37.7825583,-122.4001254
0,37.78571737,-122.3992462
0,37.78819161,-122.4012136
0,37.76144464,-122.4239588
0,37.78260468,-122.407608
0,37.7825583,-122.4001254
0,37.78543595,-122.4039495
0,37.78312959,-122.4038744
0,37.78312959,-122.4038744
0,37.7815086,-122.4050282
0,37.78312959,-122.4038744
0,37.78260468,-122.407608
0,37.79533889,-122.3937249
2,37.77192748,-122.403971
2,37.77511727,-122.397903
2,37.79618471,-122.3970001
2,37.79557411,-122.396214
2,37.79313809,-122.3962926
2,37.79313228,-122.3964641
2,37.79559481,-122.394499
2,37.79560023,-122.3945351
2,37.79561923,-122.3945014
2,37.79569208,-122.3946949
2,37.79571789,-122.3947644
2,37.79568649,-122.393682
2,37.79560313,-122.3940421
2,37.79581972,-122.3937843
2,37.79564787,-122.3939052
2,37.79574115,-122.3937962
2,37.79576022,-122.394172
2,37.79604256,-122.3942828
2,37.7957967,-122.3941219
2,37.79582478,-122.3940562
2,37.79588145,-122.394027
2,37.79595778,-122.3939502
2,37.78982692,-122.397603
2,37.790873,-122.399524
2,37.7952965,-122.3935747
2,37.79177805,-122.3928881
2,37.79474262,-122.3991735
2,37.79375897,-122.3931795
2,37.79079455,-122.3950982
2,37.79289722,-122.4009777
2,37.78957635,-122.3975815
2,37.79413262,-122.4014373
2,37.79581633,-122.4027721
2,37.79413501,-122.3990947
2,37.79416892,-122.3991215
2,37.79439957,-122.400079
2,37.7948618,-122.4008861
2,37.79479437,-122.400148
2,37.7980306,-122.4045235
2,37.79822347,-122.4045691
2,37.79810882,-122.4042298
2,37.79413501,-122.3990947
2,37.79563146,-122.399689
2,37.79537493,-122.3960802
2,37.7959435,-122.3961455
2,37.7955678,-122.3961926
2,37.79569929,-122.3967906
2,37.79588705,-122.394878
2,37.79615648,-122.3957595
2,37.79587898,-122.3937889
2,37.79572589,-122.3937299
2,37.79586803,-122.3935846
2,37.7954473,-122.3929184
2,37.79547454,-122.393049
2,37.79615588,-122.3936972
2,37.79588705,-122.394878
2,37.79596805,-122.3931542
2,37.79596805,-122.3931542
2,37.79524598,-122.3931101
